#slice DG SEM
0 11.7881139154 0.451280731874
100 11.2674615103 0.388096076384
200 10.9744695632 0.344738959173
300 10.8522915761 0.340527614232
400 10.8081877524 0.408045416619
500 10.8337405628 0.390564055809
600 10.7710340893 0.340571671612
