1.505000000000000071e+01	-1.705980000000006269e+00	-2.226480000000007564e+00	-1.750590000000006974e+00	-2.014290000000007907e+00
1.514999999999999858e+01	-1.972580000000006439e+00	-1.960810000000008602e+00	-2.049710000000007248e+00	-1.947830000000006168e+00
1.525000000000000000e+01	-1.915180000000007654e+00	-1.804350000000005450e+00	-1.894250000000006207e+00	-1.583640000000005044e+00
1.535000000000000142e+01	-1.721480000000005894e+00	-1.764500000000006175e+00	-1.557240000000005287e+00	-1.705500000000006899e+00
1.544999999999999929e+01	-1.673270000000006030e+00	-1.575310000000005317e+00	-1.757770000000005828e+00	-1.423170000000004265e+00
1.555000000000000071e+01	-1.648650000000006166e+00	-1.504840000000005951e+00	-1.393590000000004991e+00	-1.197740000000004690e+00
1.564999999999999858e+01	-1.313020000000004517e+00	-1.377460000000004792e+00	-1.461380000000005008e+00	-1.322610000000004282e+00
1.575000000000000000e+01	-1.004000000000003556e+00	-1.188460000000004291e+00	-1.118130000000003843e+00	-1.020990000000004061e+00
1.585000000000000142e+01	-9.239000000000032742e-01	-1.159570000000004208e+00	-9.599000000000036392e-01	-1.222420000000004059e+00
1.594999999999999929e+01	-8.532200000000030871e-01	-6.150700000000022261e-01	-7.423000000000025134e-01	-1.045810000000004125e+00
1.605000000000000071e+01	-6.085500000000020338e-01	-9.047800000000031373e-01	-9.960500000000036547e-01	-6.061400000000021215e-01
1.615000000000000213e+01	-4.046000000000014030e-01	-5.472400000000019471e-01	-4.791200000000016557e-01	-7.268000000000025551e-01
1.625000000000000000e+01	-4.731800000000016548e-01	-2.527200000000008329e-01	-1.756800000000006134e-01	-2.934900000000009723e-01
1.635000000000000142e+01	1.848900000000006372e-01	-1.437700000000005085e-01	-2.164800000000007829e-01	-4.119600000000014917e-01
1.644999999999999929e+01	3.676000000000015366e-02	2.792000000000010029e-01	1.930500000000006655e-01	4.472500000000015907e-01
1.655000000000000071e+01	7.508800000000026564e-01	3.950800000000014300e-01	5.047900000000017373e-01	5.813300000000021228e-01
1.665000000000000213e+01	6.343600000000021444e-01	8.769800000000029794e-01	8.302300000000029101e-01	6.708200000000024144e-01
1.675000000000000000e+01	1.110330000000004258e+00	9.042800000000033034e-01	1.060160000000003988e+00	1.021080000000003762e+00
1.685000000000000142e+01	7.819800000000026730e-01	9.349900000000033184e-01	1.024380000000003399e+00	1.161230000000003981e+00
